item,unidade,quantidade,massa_kg,custo_total_rs
Módulo 300×754-1-alto,un,15,287.3,5274.8
Módulo 300×450-1-alto,un,4,51.5,928.5
Trizeta,un,532,,
Tampa,un,76,,
Painel 300×754,un,105,,
Painel 300×450,un,28,,
Ripa PSC-04 (717),un,210,,
Ripa PSC-02 (415),un,56,,
Ripa BLA-03-AC (287),un,266,,
Ripa BAL-02-AC (270),un,456,,
Pé,un,76,,
Cruzeta,un,0,,
Bucha S8 + parafuso 5×50 + arruela (ancoragem),un,19,,22.8
Parafuso de união entre postes vizinhos (2 níveis),un,36,,12.6
Testeira 754 × 200,un,15,,
Testeira 450 × 200,un,4,,
Faixa de prateleira,un,133,,
